text,category
Missing garlic bread from the order.,Wrong / Missing Item
delivery person could not find my location.,Delivery Issue
App is very slow and laggy.,App / Technical Issue
Delivery person could not find my location.,Delivery Issue
they forgot to send cutlery.,Wrong / Missing Item
Food arrived cold because the delivery took too long.,Delivery Issue
received completely wrong order.,Wrong / Missing Item
Waited for 2 hours and food never came.,Delivery Issue
Package was damaged during delivery.,Delivery Issue
overcharged for delivery fees.,Payment / Refund Issue
food was stale and smelled bad!,Food Quality Issue
GPS location is showing wrong address.,App / Technical Issue
Food was stale and smelled bad.,Food Quality Issue
The delivery was delayed by 45 minutes!,Delivery Issue
images are not loading in the app.,App / Technical Issue
quality of paneer was very poor.,Food Quality Issue
Food arrived cold because the delivery took too long.,Delivery Issue
Unable to login to my account!,App / Technical Issue
Food was stale and smelled bad.,Food Quality Issue
Package was damaged during delivery.,Delivery Issue
Driver was very polite but late due to traffic!,Delivery Issue
Received completely wrong order.,Wrong / Missing Item
Dessert was missing.,Wrong / Missing Item
overcharged for delivery fees.,Payment / Refund Issue
app crashes when i open the menu.,App / Technical Issue
found a hair in my biryani.,Food Quality Issue
The pizza was burnt and undeniable.,Food Quality Issue
wallet balance did not update after recharge.,Payment / Refund Issue
the delivery was delayed by 45 minutes.,Delivery Issue
Ordered spicy but got sweet food.,Food Quality Issue
my order was marked delivered but i didn't receive it.,Delivery Issue
the delivery was delayed by 45 minutes.,Delivery Issue
ordered spicy but got sweet food.,Food Quality Issue
the delivery was delayed by 45 minutes.,Delivery Issue
Rider was rude and shouted at me.,Delivery Issue
Waited for 2 hours and food never came.,Delivery Issue
food was uncooked and raw.,Food Quality Issue
food arrived cold because the delivery took too long.,Delivery Issue
wrong toppings on the pizza.,Wrong / Missing Item
wallet balance did not update after recharge!,Payment / Refund Issue
Too much salt in the curry.,Food Quality Issue
payment gateway crashed during transaction!,Payment / Refund Issue
Quality of paneer was very poor!,Food Quality Issue
Did not receive cashback as promised.,Payment / Refund Issue
Unable to login to my account.,App / Technical Issue
gps location is showing wrong address.,App / Technical Issue
Cannot add items to cart!,App / Technical Issue
app crashes when i open the menu!,App / Technical Issue
refund not processed yet after 5 days!,Payment / Refund Issue
they forgot to send cutlery.,Wrong / Missing Item
Rice was hard and undercooked.,Food Quality Issue
dessert was missing.,Wrong / Missing Item
refund amount is incorrect.,Payment / Refund Issue
wrong toppings on the pizza.,Wrong / Missing Item
missing garlic bread from the order.,Wrong / Missing Item
Received a smaller portion size than ordered.,Wrong / Missing Item
The quantity was very less for the price.,Food Quality Issue
coupon code didn't work but amount deducted!,Payment / Refund Issue
refund amount is incorrect.,Payment / Refund Issue
The delivery was delayed by 45 minutes.,Delivery Issue
wallet balance did not update after recharge.,Payment / Refund Issue
Coupon code didn't work but amount deducted!,Payment / Refund Issue
search function is not working.,App / Technical Issue
Delivery was extremely late.,Delivery Issue
Delivery guy asked for a tip forcefully.,Delivery Issue
Delivery person could not find my location.,Delivery Issue
Rice was hard and undercooked.,Food Quality Issue
Refund not processed yet after 5 days!,Payment / Refund Issue
wallet balance did not update after recharge!,Payment / Refund Issue
the delivery was delayed by 45 minutes.,Delivery Issue
Delivery person could not find my location.,Delivery Issue
The quantity was very less for the price.,Food Quality Issue
Did not receive cashback as promised!,Payment / Refund Issue
The pizza was burnt and undeniable.,Food Quality Issue
App is very slow and laggy!,App / Technical Issue
Search function is not working.,App / Technical Issue
Received completely wrong order.,Wrong / Missing Item
the delivery was delayed by 45 minutes.,Delivery Issue
wrong toppings on the pizza.,Wrong / Missing Item
They forgot to send cutlery.,Wrong / Missing Item
the pizza was burnt and undeniable!,Food Quality Issue
quality of paneer was very poor.,Food Quality Issue
images are not loading in the app.,App / Technical Issue
coupon code didn't work but amount deducted.,Payment / Refund Issue
Notification not received for order status.,App / Technical Issue
Rice was hard and undercooked!,Food Quality Issue
my order was marked delivered but i didn't receive it.,Delivery Issue
"ordered 2 burgers, got only 1!",Wrong / Missing Item
notification not received for order status!,App / Technical Issue
Refund not processed yet after 5 days.,Payment / Refund Issue
"Ordered 2 burgers, got only 1.",Wrong / Missing Item
rice was hard and undercooked.,Food Quality Issue
Delivery was extremely late!,Delivery Issue
"The taste was awful, threw it away.",Food Quality Issue
The delivery was delayed by 45 minutes.,Delivery Issue
Cannot add items to cart.,App / Technical Issue
refund amount is incorrect.,Payment / Refund Issue
Cannot add items to cart!,App / Technical Issue
Delivery person could not find my location.,Delivery Issue
payment gateway crashed during transaction.,Payment / Refund Issue
The delivery was delayed by 45 minutes!,Delivery Issue
payment gateway crashed during transaction.,Payment / Refund Issue
money deducted but order failed.,Payment / Refund Issue
Driver was very polite but late due to traffic.,Delivery Issue
rice was hard and undercooked.,Food Quality Issue
"the taste was awful, threw it away.",Food Quality Issue
Too much salt in the curry!,Food Quality Issue
wrong toppings on the pizza!,Wrong / Missing Item
I ordered coke but got sprite.,Wrong / Missing Item
They forgot to send cutlery.,Wrong / Missing Item
they forgot to send cutlery.,Wrong / Missing Item
I ordered coke but got sprite.,Wrong / Missing Item
delivery guy asked for a tip forcefully.,Delivery Issue
