text,category
Images are not loading in the app!,App / Technical Issue
"The taste was awful, threw it away!",Food Quality Issue
wallet balance did not update after recharge.,Payment / Refund Issue
waited for 2 hours and food never came.,Delivery Issue
gps location is showing wrong address.,App / Technical Issue
"cannot track my order, map is blank.",App / Technical Issue
refund amount is incorrect.,Payment / Refund Issue
my order was marked delivered but i didn't receive it.,Delivery Issue
I ordered coke but got sprite!,Wrong / Missing Item
App crashes when I open the menu.,App / Technical Issue
Notification not received for order status.,App / Technical Issue
Rice was hard and undercooked.,Food Quality Issue
GPS location is showing wrong address.,App / Technical Issue
i ordered coke but got sprite.,Wrong / Missing Item
Refund not processed yet after 5 days.,Payment / Refund Issue
"The taste was awful, threw it away.",Food Quality Issue
Rice was hard and undercooked.,Food Quality Issue
cannot add items to cart.,App / Technical Issue
search function is not working.,App / Technical Issue
Unable to login to my account.,App / Technical Issue
Ordered spicy but got sweet food.,Food Quality Issue
the quantity was very less for the price!,Food Quality Issue
refund amount is incorrect.,Payment / Refund Issue
"cannot track my order, map is blank.",App / Technical Issue
Food arrived cold because the delivery took too long.,Delivery Issue
Cannot add items to cart.,App / Technical Issue
"The taste was awful, threw it away!",Food Quality Issue
Unable to pay using UPI!,Payment / Refund Issue
delivery person could not find my location.,Delivery Issue
Delivery guy asked for a tip forcefully.,Delivery Issue
images are not loading in the app.,App / Technical Issue
the delivery was delayed by 45 minutes.,Delivery Issue
Food arrived cold because the delivery took too long.,Delivery Issue
found a hair in my biryani.,Food Quality Issue
Food arrived cold because the delivery took too long.,Delivery Issue
food arrived cold because the delivery took too long.,Delivery Issue
Half the items were missing from the bag.,Wrong / Missing Item
The delivery was delayed by 45 minutes!,Delivery Issue
quality of paneer was very poor.,Food Quality Issue
Rider was rude and shouted at me.,Delivery Issue
Refund amount is incorrect.,Payment / Refund Issue
Quality of paneer was very poor.,Food Quality Issue
"Ordered 2 burgers, got only 1.",Wrong / Missing Item
received a smaller portion size than ordered.,Wrong / Missing Item
driver was very polite but late due to traffic!,Delivery Issue
app is very slow and laggy!,App / Technical Issue
Too much salt in the curry.,Food Quality Issue
wrong toppings on the pizza.,Wrong / Missing Item
Delivery was extremely late.,Delivery Issue
Dessert was missing.,Wrong / Missing Item
Delivery guy asked for a tip forcefully!,Delivery Issue
Delivery was extremely late.,Delivery Issue
dessert was missing.,Wrong / Missing Item
Driver was very polite but late due to traffic.,Delivery Issue
found a hair in my biryani.,Food Quality Issue
wallet balance did not update after recharge.,Payment / Refund Issue
missing garlic bread from the order.,Wrong / Missing Item
My order was marked delivered but I didn't receive it!,Delivery Issue
Images are not loading in the app.,App / Technical Issue
dessert was missing.,Wrong / Missing Item
Received a smaller portion size than ordered.,Wrong / Missing Item
"ordered 2 burgers, got only 1.",Wrong / Missing Item
Wallet balance did not update after recharge.,Payment / Refund Issue
Food was uncooked and raw.,Food Quality Issue
Driver was very polite but late due to traffic.,Delivery Issue
The pizza was burnt and undeniable!,Food Quality Issue
charged twice for the same order.,Payment / Refund Issue
delivery person could not find my location.,Delivery Issue
"Ordered 2 burgers, got only 1.",Wrong / Missing Item
payment gateway crashed during transaction.,Payment / Refund Issue
Payment gateway crashed during transaction.,Payment / Refund Issue
Unable to login to my account.,App / Technical Issue
"The taste was awful, threw it away!",Food Quality Issue
I ordered veg biryani but got chicken.,Wrong / Missing Item
wrong toppings on the pizza.,Wrong / Missing Item
Overcharged for delivery fees.,Payment / Refund Issue
app freezes on the payment screen.,App / Technical Issue
Food was uncooked and raw.,Food Quality Issue
Food was uncooked and raw.,Food Quality Issue
half the items were missing from the bag.,Wrong / Missing Item
Overcharged for delivery fees.,Payment / Refund Issue
Unable to login to my account.,App / Technical Issue
Payment gateway crashed during transaction.,Payment / Refund Issue
images are not loading in the app.,App / Technical Issue
Dessert was missing.,Wrong / Missing Item
package was damaged during delivery.,Delivery Issue
"cannot track my order, map is blank.",App / Technical Issue
gps location is showing wrong address.,App / Technical Issue
package was damaged during delivery.,Delivery Issue
waited for 2 hours and food never came.,Delivery Issue
food was uncooked and raw.,Food Quality Issue
Missing garlic bread from the order!,Wrong / Missing Item
Coupon code didn't work but amount deducted.,Payment / Refund Issue
"ordered 2 burgers, got only 1.",Wrong / Missing Item
Quality of paneer was very poor.,Food Quality Issue
delivery was extremely late!,Delivery Issue
the quantity was very less for the price.,Food Quality Issue
package was damaged during delivery!,Delivery Issue
food arrived cold because the delivery took too long.,Delivery Issue
refund not processed yet after 5 days.,Payment / Refund Issue
food was uncooked and raw.,Food Quality Issue
found a hair in my biryani.,Food Quality Issue
Refund not processed yet after 5 days.,Payment / Refund Issue
Search function is not working.,App / Technical Issue
I ordered veg biryani but got chicken.,Wrong / Missing Item
notification not received for order status!,App / Technical Issue
waited for 2 hours and food never came.,Delivery Issue
Half the items were missing from the bag.,Wrong / Missing Item
"The taste was awful, threw it away.",Food Quality Issue
GPS location is showing wrong address.,App / Technical Issue
money deducted but order failed.,Payment / Refund Issue
did not receive cashback as promised.,Payment / Refund Issue
